feature_1,feature_2,class
-2.3466,9.1402,0.0
4.7784,2.1943,1.0
-6.6753,-6.5928,2.0
4.4215,1.9224,1.0
-6.8681,-6.9332,2.0
4.8307,2.2169,1.0
-6.8104,-6.7817,2.0
4.5998,2.0195,1.0
-7.2198,-7.0271,2.0
-6.5596,-6.5744,2.0
-2.6786,9.2642,0.0
4.7313,2.3928,1.0
-2.5992,9.1389,0.0
4.7255,1.9886,1.0
-7.1043,-6.471,2.0
4.5298,2.0751,1.0
4.6945,1.5582,1.0
4.3547,2.0519,1.0
-6.7471,-7.0447,2.0
-7.1772,-7.1051,2.0
-6.6742,-7.0097,2.0
-2.7561,8.8958,0.0
-2.5966,8.693,0.0
4.9301,2.3346,1.0
-6.94,-6.5626,2.0
-6.7679,-6.961,2.0
-6.9593,-6.9694,2.0
4.655,2.1829,1.0
4.7787,2.1165,1.0
4.4631,1.9997,1.0
-2.5495,9.013,0.0
-2.5283,8.659,0.0
-2.6337,9.0532,0.0
-7.0755,-6.8474,2.0
4.5718,2.0732,1.0
4.6172,2.0175,1.0
4.4699,1.8766,1.0
-2.4572,9.1707,0.0
-2.4629,9.1436,0.0
-7.1861,-6.8262,2.0
-7.0391,-6.6652,2.0
-2.8764,9.1159,0.0
4.387,1.6145,1.0
-2.1865,9.105,0.0
4.898,2.4908,1.0
4.679,1.9534,1.0
4.4876,1.912,1.0
-7.2933,-6.8622,2.0
4.735,1.6238,1.0
-7.2473,-6.7005,2.0
4.5409,1.8737,1.0
4.6122,1.8884,1.0
4.5184,2.2868,1.0
-2.3408,8.9404,0.0
-6.9171,-6.6736,2.0
-6.8269,-6.9919,2.0
-6.4972,-6.6473,2.0
-6.4862,-6.8879,2.0
-2.4711,9.2025,0.0
-6.6808,-6.6997,2.0
4.543,1.7799,1.0
4.5605,1.9649,1.0
-6.9073,-6.9556,2.0
-6.3785,-6.9704,2.0
-6.7423,-6.7319,2.0
-2.467,8.9949,0.0
4.6185,2.3616,1.0
4.7623,1.7775,1.0
-2.6728,9.0136,0.0
-2.4166,8.7409,0.0
-6.9258,-7.0395,2.0
4.7373,2.1876,1.0
-6.9547,-6.7402,2.0
-2.3827,9.2088,0.0
-6.7161,-7.0628,2.0
-6.8734,-6.9125,2.0
4.8581,1.8806,1.0
4.4794,1.7437,1.0
4.6564,1.8993,1.0
-2.3728,9.3117,0.0
4.5349,2.0719,1.0
4.4608,2.1857,1.0
4.5091,1.9786,1.0
4.6355,2.1146,1.0
4.5673,1.5717,1.0
-2.1802,8.9645,0.0
-2.3783,9.0032,0.0
-2.2253,8.8942,0.0
-2.6295,9.0782,0.0
-6.8466,-6.8776,2.0
-2.7486,9.193,0.0
-2.4062,9.117,0.0
-6.8866,-7.0616,2.0
-6.7585,-6.7856,2.0
4.8797,1.9667,1.0
-6.668,-6.8637,2.0
-2.5371,9.1622,0.0
-2.3265,8.8537,0.0
-2.758,8.8757,0.0
-2.5553,8.8294,0.0
-2.2312,9.1258,0.0
4.6269,1.9877,1.0
-2.6184,9.0926,0.0
4.666,1.9449,1.0
-6.6001,-6.6419,2.0
4.8991,1.7517,1.0
-2.335,8.9491,0.0
4.7511,1.8549,1.0
-7.0771,-6.7318,2.0
-6.9605,-6.8798,2.0
-6.7728,-7.2338,2.0
-6.8182,-6.8904,2.0
-6.9182,-7.2365,2.0
-2.4539,9.1797,0.0
4.7301,2.1745,1.0
-7.0316,-7.0221,2.0
4.2599,1.9475,1.0
-6.8361,-7.045,2.0
-7.0646,-6.9701,2.0
-2.4515,9.0664,0.0
4.7404,1.795,1.0
-6.7977,-6.9995,2.0
4.8941,1.7772,1.0
-6.7879,-7.1011,2.0
4.5981,1.9106,1.0
-6.8142,-7.0471,2.0
-7.3109,-6.9544,2.0
4.9546,2.0645,1.0
-2.3142,8.9849,0.0
4.5929,1.7945,1.0
4.6225,2.3491,1.0
-2.634,9.3971,0.0
-2.5438,9.1687,0.0
-2.412,8.7048,0.0
4.9417,2.0943,1.0
-6.8513,-6.7851,2.0
-2.2198,9.0536,0.0
-2.3441,9.177,0.0
-2.5708,9.0581,0.0
-6.9023,-6.8913,2.0
-2.6391,8.7695,0.0
-7.0758,-7.0343,2.0
4.779,1.745,1.0
4.725,2.0568,1.0
-2.3683,9.1721,0.0
-2.4641,9.1528,0.0
4.5479,1.7572,1.0
-2.7199,8.8007,0.0
-2.3028,8.7172,0.0
-2.3077,8.7633,0.0
-6.644,-6.7985,2.0
-2.3306,9.3802,0.0
4.5945,1.9448,1.0
-7.118,-6.4914,2.0
-2.4324,9.0077,0.0
4.9261,1.9212,1.0
4.613,2.077,1.0
-2.5504,8.865,0.0
4.2811,1.7021,1.0
-6.8756,-6.9601,2.0
-7.0489,-6.7585,2.0
-2.4172,8.8787,0.0
4.5416,1.6906,1.0
-2.3191,9.3564,0.0
4.6767,1.8892,1.0
-2.6042,8.8836,0.0
4.7293,1.8455,1.0
-2.5024,8.8603,0.0
4.3818,1.9445,1.0
4.5205,1.4951,1.0
-2.4762,9.0245,0.0
4.9269,1.9037,1.0
4.4766,1.9888,1.0
4.8104,1.7273,1.0
4.8099,2.0567,1.0
-6.7053,-6.8147,2.0
-6.9472,-7.0056,2.0
-6.489,-6.7427,2.0
4.441,2.0231,1.0
-2.4057,8.8691,0.0
-2.0239,9.1009,0.0
-7.0959,-6.8129,2.0
-2.4415,8.9312,0.0
4.8734,1.8284,1.0
4.5479,2.0818,1.0
-2.6283,9.2892,0.0
-2.4501,8.711,0.0
-2.4933,9.1251,0.0
-6.756,-6.589,2.0
-2.8694,8.9058,0.0
-2.3604,8.978,0.0
4.4834,2.1146,1.0
4.5823,2.0222,1.0
4.68,1.9933,1.0
-2.5159,9.1052,0.0
-2.5723,9.1661,0.0
-6.8949,-6.5807,2.0
4.669,1.8324,1.0
-6.867,-7.0258,2.0
-7.0602,-6.3404,2.0
-6.9667,-7.1431,2.0
4.5881,1.9356,1.0
-6.8363,-6.821,2.0
-7.0206,-7.15,2.0
-2.4593,9.2233,0.0
-2.6551,9.0866,0.0
4.8481,1.7201,1.0
4.6272,1.683,1.0
-6.8124,-7.0275,2.0
4.9305,1.9575,1.0
-6.5929,-7.1556,2.0
-6.7278,-6.7905,2.0
4.7474,2.0344,1.0
-6.8768,-6.6979,2.0
-6.5732,-6.796,2.0
4.4907,1.8409,1.0
-2.5979,8.8373,0.0
-6.8937,-6.9375,2.0
-2.1118,8.9081,0.0
-2.1997,9.3735,0.0
-2.0941,8.8764,0.0
-2.6384,8.8544,0.0
4.8529,2.2637,1.0
-2.6317,9.0866,0.0
-2.5876,8.7216,0.0
-6.8023,-6.6083,2.0
-6.689,-6.7223,2.0
4.4757,1.8878,1.0
-3.0486,9.0034,0.0
4.5371,1.7334,1.0
4.7637,2.3008,1.0
4.4773,2.1378,1.0
-2.7784,8.8504,0.0
4.7382,2.0871,1.0
-2.3823,9.2362,0.0
-2.4397,8.9168,0.0
-2.63,8.9684,0.0
-7.0237,-7.1052,2.0
-6.9264,-6.9193,2.0
4.7419,2.2277,1.0
4.7118,1.8734,1.0
-2.3676,9.0609,0.0
4.2757,1.832,1.0
-2.0967,8.8008,0.0
-2.3442,8.8409,0.0
4.5223,2.0193,1.0
-6.7203,-6.5473,2.0
5.0194,1.7836,1.0
-2.3057,9.0686,0.0
-6.6257,-7.1291,2.0
-2.8288,9.1067,0.0
-6.668,-6.786,2.0
-6.6264,-6.7381,2.0
-2.262,8.8001,0.0
5.0767,2.0873,1.0
-6.9411,-6.6063,2.0
4.4778,2.1446,1.0
4.6604,1.8766,1.0
4.9558,1.8508,1.0
5.1383,1.9181,1.0
-6.7959,-6.8829,2.0
-2.4641,8.9404,0.0
-2.6577,8.9172,0.0
-2.5611,8.7137,0.0
-2.5347,9.3165,0.0
-7.1174,-6.7918,2.0
-2.4032,9.3026,0.0
4.6133,1.709,1.0
-2.571,8.8639,0.0
-2.6963,9.2315,0.0
-6.6851,-6.7056,2.0
4.3669,2.1135,1.0
-6.5974,-6.723,2.0
-6.5101,-6.642,2.0
4.511,1.4253,1.0
4.9587,1.9939,1.0
4.6462,1.9883,1.0
-6.6737,-6.4836,2.0
4.5697,1.5295,1.0
-6.5929,-7.252,2.0
-2.7936,9.3146,0.0
-7.0908,-7.0901,2.0
-7.0239,-6.8523,2.0
-2.2138,8.7807,0.0
4.5374,1.8129,1.0
4.5139,2.1196,1.0
4.8354,1.552,1.0
-2.6277,8.8415,0.0
4.5062,1.961,1.0
-6.9883,-6.6273,2.0
4.5054,2.0178,1.0
4.8967,1.4879,1.0
-2.618,8.9817,0.0
4.6761,2.2338,1.0
-6.9449,-6.483,2.0
-7.1412,-6.9491,2.0
-6.7502,-7.017,2.0
-7.0915,-6.9802,2.0
-7.1601,-6.4619,2.0
-2.3578,8.8299,0.0
-6.9513,-7.1251,2.0
-2.6345,9.1868,0.0
-7.0649,-7.122,2.0
4.6878,2.1198,1.0
4.6558,2.1249,1.0
-2.3533,9.0065,0.0
-2.473,8.7549,0.0
-2.561,9.334,0.0
-6.9395,-7.1273,2.0
-6.7298,-6.9996,2.0
-6.695,-6.7989,2.0
-7.2285,-7.0182,2.0
-2.4255,9.2946,0.0
-2.289,9.406,0.0
-6.8159,-6.8843,2.0
-2.7041,9.1717,0.0
4.5531,2.3176,1.0
-6.7663,-7.0098,2.0
-2.5777,8.8538,0.0
-2.494,9.1628,0.0
-7.003,-7.1497,2.0
-6.8166,-6.8371,2.0
-6.944,-6.8866,2.0
-6.8392,-7.1915,2.0
4.5042,1.9095,1.0
-6.9777,-6.9367,2.0
4.7592,1.8463,1.0
-2.8026,8.914,0.0
-7.1477,-6.9441,2.0
-7.2358,-6.5796,2.0
-7.2332,-6.8762,2.0
-6.5,-6.9029,2.0
-2.6442,8.9854,0.0
4.5797,1.8469,1.0
-2.3792,8.9945,0.0
-7.0974,-6.7678,2.0
-6.4692,-7.2213,2.0
-2.5951,8.8758,0.0
4.477,2.2733,1.0
-2.7467,9.0763,0.0
4.682,1.8755,1.0
4.7468,1.9914,1.0
-2.2721,9.1581,0.0
4.6059,2.3005,1.0
4.3726,2.2405,1.0
4.4171,1.847,1.0
-2.2959,9.2481,0.0
4.3983,2.135,1.0
4.9726,2.0342,1.0
4.0974,1.9433,1.0
4.6519,2.0508,1.0
4.6365,2.0742,1.0
-2.64,8.6482,0.0
-6.8378,-6.8891,2.0
-2.6277,9.039,0.0
-6.8482,-6.6848,2.0
4.6215,1.7568,1.0
4.9895,2.1812,1.0
-2.2615,9.0185,0.0
4.8038,2.0579,1.0
4.1528,2.11,1.0
-6.4368,-7.1497,2.0
-7.0609,-6.8517,2.0
-2.209,9.1843,0.0
-2.1473,8.9707,0.0
-6.8866,-7.0509,2.0
-7.032,-6.94,2.0
-2.653,9.1633,0.0
-6.7651,-6.8007,2.0
-6.9591,-7.157,2.0
-2.5197,9.3551,0.0
-2.5545,9.0878,0.0
-6.882,-6.928,2.0
-2.4348,9.0921,0.0
-2.5819,9.0029,0.0
-2.02,9.0401,0.0
-2.3699,9.2053,0.0
-7.1314,-7.0812,2.0
-6.7827,-6.9405,2.0
-2.6664,8.7381,0.0
-6.4465,-6.6692,2.0
-6.7148,-6.9129,2.0
4.6022,1.9525,1.0
-7.0673,-6.9894,2.0
-6.9879,-6.9005,2.0
-6.9333,-6.8639,2.0
-2.3448,9.3936,0.0
-6.3148,-6.951,2.0
-6.9945,-6.9473,2.0
-2.5442,8.8631,0.0
-2.6637,9.1803,0.0
4.6698,2.046,1.0
-7.011,-6.6812,2.0
-6.9662,-6.443,2.0
4.8123,1.6899,1.0
-6.84,-6.8151,2.0
-7.0811,-6.8465,2.0
4.3757,2.1275,1.0
4.3123,1.6159,1.0
-2.4974,9.1037,0.0
-2.5143,9.2488,0.0
-6.9165,-6.9213,2.0
-6.8879,-6.4483,2.0
4.4021,1.9632,1.0
-2.1827,8.7283,0.0
-2.7227,8.9858,0.0
-2.8544,8.8788,0.0
-2.6446,9.1366,0.0
-2.561,8.975,0.0
4.7021,1.5952,1.0
-7.0576,-7.0723,2.0
4.6055,2.1929,1.0
-2.444,8.7641,0.0
-6.8475,-6.7477,2.0
-2.3618,8.958,0.0
-6.523,-6.9296,2.0
4.6836,1.8839,1.0
-6.9054,-6.9819,2.0
4.597,2.1406,1.0
-2.7593,9.1352,0.0
-2.7394,9.0894,0.0
-2.2935,9.0066,0.0
-6.8204,-6.853,2.0
-2.269,8.9327,0.0
4.8886,2.2188,1.0
-6.9294,-6.8173,2.0
-6.9086,-6.7989,2.0
4.6007,2.1852,1.0
-2.5043,9.1139,0.0
-6.8288,-6.7407,2.0
-7.0874,-6.5426,2.0
-2.4449,9.0987,0.0
4.4835,1.8212,1.0
-2.284,9.004,0.0
-6.8409,-6.8682,2.0
-2.7124,9.0266,0.0
-2.5586,8.8779,0.0
-2.3248,9.1108,0.0
4.3017,1.7775,1.0
-6.4383,-6.8642,2.0
4.706,2.2634,1.0
4.4755,1.7293,1.0
-2.8131,8.4479,0.0
-6.8463,-6.6681,2.0
4.7164,1.7107,1.0
-2.7057,8.9694,0.0
-2.3117,8.9991,0.0
4.5788,2.1826,1.0
-6.5743,-6.4996,2.0
4.2362,2.0022,1.0
-6.8784,-7.2498,2.0
5.1909,1.912,1.0
4.7345,1.8441,1.0
-6.9661,-6.8338,2.0
-6.6389,-7.178,2.0
4.6677,1.9641,1.0
-2.8234,8.7889,0.0
4.5564,2.042,1.0
4.4672,1.9669,1.0
4.3361,1.447,1.0
-7.111,-6.8156,2.0
4.4928,2.3044,1.0
-2.367,9.1031,0.0
4.6818,1.7763,1.0
-6.7029,-7.1533,2.0
-2.2691,8.8829,0.0
4.7666,1.8335,1.0
-6.9142,-6.9673,2.0
-6.8416,-6.956,2.0
-7.1269,-6.6252,2.0
-7.0415,-7.0853,2.0
-6.891,-7.0582,2.0
-7.005,-6.8883,2.0
-2.7353,9.1388,0.0
-6.5612,-6.9977,2.0
-6.7778,-7.0033,2.0
-2.5285,8.9311,0.0
-2.745,9.2518,0.0
4.3685,2.0178,1.0
-2.3954,9.34,0.0
4.4282,1.4736,1.0
4.7892,2.0383,1.0
-2.2972,9.5662,0.0
4.3512,1.8766,1.0
-7.0227,-6.6558,2.0
4.741,1.9558,1.0
-7.0524,-6.9054,2.0
-2.4664,8.7651,0.0
-2.5875,8.8298,0.0
4.6952,1.9749,1.0
4.7652,1.9572,1.0
-2.2565,8.845,0.0
-2.6027,9.0836,0.0
4.6099,1.6865,1.0
4.6289,1.7887,1.0
-7.3531,-6.8094,2.0
4.527,1.6744,1.0
-2.2691,8.9217,0.0
-2.0979,8.7881,0.0
4.6435,2.0677,1.0
-2.3298,9.2693,0.0
-2.8649,9.3135,0.0
-2.4438,8.9705,0.0
4.4459,1.8937,1.0
4.5636,1.7091,1.0
-7.1646,-6.9226,2.0
4.4611,1.8956,1.0
-6.8004,-6.9035,2.0
-2.699,9.3638,0.0
-6.9861,-6.9578,2.0
-7.1687,-6.8077,2.0
-2.519,8.7332,0.0
-6.9038,-6.7347,2.0
-6.8493,-7.0849,2.0
4.649,2.0848,1.0
-2.5487,8.984,0.0
-6.7244,-6.9769,2.0
-7.1322,-7.2623,2.0
-7.0298,-6.7216,2.0
-2.4438,9.0744,0.0
-2.5191,9.1493,0.0
-6.9227,-6.6514,2.0
-2.4436,9.1991,0.0
-2.3746,9.1326,0.0
4.8671,1.9424,1.0
-2.4666,8.8639,0.0
4.5136,1.9837,1.0
-2.3264,8.7051,0.0
4.712,1.791,1.0
-6.7973,-7.0684,2.0
-2.6343,9.0934,0.0
-7.0574,-6.9121,2.0
-7.2232,-6.8329,2.0
4.638,2.0346,1.0
-7.2817,-7.1449,2.0
-7.0653,-6.6314,2.0
-3.0331,9.1787,0.0
4.6809,1.6485,1.0
4.2589,2.2621,1.0
-6.7432,-6.6908,2.0
4.6989,1.9255,1.0
-2.3269,9.0354,0.0
-2.8405,8.9094,0.0
-6.5448,-7.0603,2.0
-6.5245,-7.1759,2.0
-2.3773,9.2018,0.0
-2.997,8.9874,0.0
4.2298,2.121,1.0
-6.8324,-7.0679,2.0
-2.5919,9.3918,0.0
4.4597,1.7803,1.0
-6.8401,-7.3844,2.0
-2.3667,8.6377,0.0
-7.2101,-6.6867,2.0
4.8835,2.1846,1.0
-6.9342,-6.7631,2.0
-6.3914,-6.7927,2.0
-2.6207,8.7403,0.0
-2.7416,8.9577,0.0
4.8319,2.0657,1.0
4.2248,1.956,1.0
4.4169,2.2126,1.0
4.302,1.8789,1.0
-6.9626,-7.025,2.0
4.5728,1.705,1.0
-6.8496,-6.7376,2.0
-6.9953,-6.8211,2.0
-2.1758,9.3189,0.0
-2.4424,9.3006,0.0
-2.559,9.2086,0.0
-7.1025,-7.228,2.0
4.7388,2.0499,1.0
-6.7479,-6.8337,2.0
4.6198,1.9617,1.0
-2.5246,9.0825,0.0
4.6886,1.7551,1.0
4.7397,1.6347,1.0
-6.8267,-6.8674,2.0
-6.7013,-7.1028,2.0
4.4318,2.3622,1.0
-2.4234,9.1529,0.0
-6.5928,-7.228,2.0
4.8212,1.9876,1.0
-2.5604,8.966,0.0
4.7271,1.4667,1.0
4.792,1.6246,1.0
4.4518,1.861,1.0
4.8124,1.6342,1.0
4.4865,1.9868,1.0
-2.6638,9.0957,0.0
-2.339,8.9868,0.0
-6.9659,-7.3041,2.0
-2.5831,9.043,0.0
-2.3186,9.1169,0.0
4.6062,2.093,1.0
4.5985,1.767,1.0
-6.4848,-6.8047,2.0
4.7906,1.8503,1.0
-2.4624,8.9646,0.0
-2.7022,9.1515,0.0
4.7811,1.9246,1.0
-7.1791,-6.7348,2.0
-6.9414,-6.7991,2.0
-2.2136,8.9106,0.0
-2.6502,9.0031,0.0
-7.0897,-7.0746,2.0
-2.4272,8.8421,0.0
-2.2328,9.144,0.0
-2.7666,8.7349,0.0
-2.61,8.998,0.0
-2.2251,8.9001,0.0
-6.9654,-7.2211,2.0
-2.289,9.2266,0.0
-2.4355,8.9356,0.0
-2.2457,9.0538,0.0
-2.4444,8.9373,0.0
4.6319,1.6923,1.0
-6.691,-6.8439,2.0
4.754,1.9069,1.0
-6.8665,-6.5475,2.0
-7.0523,-6.4721,2.0
4.8742,2.2728,1.0
4.5599,2.027,1.0
-2.7484,9.1032,0.0
4.7382,1.9274,1.0
4.5507,2.3839,1.0
-2.5453,9.6529,0.0
4.4865,1.8524,1.0
-2.4908,8.6168,0.0
4.4841,2.0138,1.0
4.5668,1.9429,1.0
-6.6275,-6.7568,2.0
-2.4123,8.845,0.0
4.6606,2.3816,1.0
4.4346,2.2192,1.0
4.7278,1.9535,1.0
-6.4812,-6.5133,2.0
-2.6243,9.0387,0.0
5.2703,1.7485,1.0
4.4335,1.8851,1.0
-2.675,8.9022,0.0
-7.0849,-6.5622,2.0
-7.2031,-6.8108,2.0
-2.3302,9.1413,0.0
-2.9396,8.8705,0.0
-2.3751,8.7999,0.0
-2.6529,9.1933,0.0
4.6526,1.8988,1.0
4.8866,1.9716,1.0
-7.2047,-6.8635,2.0
-2.8784,8.8284,0.0
4.2785,1.9182,1.0
-2.157,9.0142,0.0
-7.0897,-6.7109,2.0
-6.755,-6.7518,2.0
-2.7337,9.0908,0.0
-2.3705,8.9359,0.0
5.0026,1.9046,1.0
4.8394,1.9158,1.0
-2.3902,9.185,0.0
-2.4311,8.9936,0.0
-6.6455,-7.2112,2.0
-2.4424,8.9832,0.0
-6.6378,-6.885,2.0
4.3386,1.7723,1.0
4.7703,1.6469,1.0
-6.8445,-6.9105,2.0
4.7775,1.8506,1.0
4.6769,2.0637,1.0
-2.6763,9.4433,0.0
-2.524,8.924,0.0
-2.3876,9.0516,0.0
4.635,1.6887,1.0
-2.4846,9.1246,0.0
4.6237,1.3391,1.0
4.7416,1.8871,1.0
-6.7186,-6.442,2.0
-7.2385,-6.7722,2.0
-6.6013,-6.9226,2.0
-6.8591,-6.9397,2.0
-6.7031,-6.6746,2.0
4.7442,2.2406,1.0
4.5793,2.2424,1.0
-2.5597,8.7647,0.0
